Order ID,Accessorie,Quantity Ordered,Price Each,Order Date,Purchase Address
222910,Sunglasses,1,150,7/26/2019 16:51,"389 South St, Atlanta, GA 30301"
222911,Apron,1,300,7/5/2019 8:55,"590 4th St, Seattle, WA 98101"
222912,Necklace,1,3.84,7/29/2019 12:41,"861 Hill St, Atlanta, GA 30301"
222913,Watch,1,3.84,7/28/2019 10:15,"190 Ridge St, Atlanta, GA 30301"
222914,Socks,5,2.99,7/31/2019 2:13,"824 Forest St, Seattle, WA 98101"
222915,Tie,1,99.99,7/3/2019 18:30,"899 Elm St, San Francisco, CA 94016"
222916,Bow tie,1,600,7/21/2019 22:39,"745 Chestnut St, New York City, NY 10001"
222917,Ring,1,600,7/17/2019 13:44,"490 Adams St, New York City, NY 10001"
222918,Gloves,1,11.95,7/14/2019 21:16,"207 1st St, Los Angeles, CA 90001"
222919,Scarf,1,14.95,7/14/2019 13:24,"29 Jefferson St, Dallas, TX 75001"
222920,Umbrella,1,3.84,7/30/2019 4:42,"590 6th St, San Francisco, CA 94016"
222921,Boots,1,14.95,7/2/2019 11:04,"960 Willow St, San Francisco, CA 94016"
222922,Mittens,1,379.99,7/20/2019 21:12,"616 Chestnut St, Dallas, TX 75001"
222923,Stockings,1,2.99,7/5/2019 12:16,"105 Johnson St, Los Angeles, CA 90001"
222924,Earmuffs,1,99.99,7/13/2019 20:46,"444 Spruce St, San Francisco, CA 94016"
222925,Hair band,1,150,7/9/2019 2:59,"764 Adams St, San Francisco, CA 94016"
222926,Safety pin,2,14.95,7/15/2019 17:44,"577 Lakeview St, Los Angeles, CA 90001"
222927,Pocket watch,1,11.99,7/31/2019 20:34,"244 Washington St, Los Angeles, CA 90001"
222928,Apron,1,600,7/15/2019 17:18,"524 Cherry St, San Francisco, CA 94016"
222929,Necklace,1,400,7/4/2019 19:46,"882 Hickory St, Boston, MA 02215"
222930,Watch,1,14.95,7/20/2019 20:57,"826 River St, San Francisco, CA 94016"
222931,Socks,1,11.95,7/18/2019 9:21,"145 Pine St, Boston, MA 02215"
222932,Tie,1,11.99,7/24/2019 17:32,"386 Cedar St, Los Angeles, CA 90001"
222933,Bow tie,1,600,7/30/2019 13:20,"76 2nd St, Los Angeles, CA 90001"
222934,Purse,2,3.84,7/3/2019 23:51,"437 River St, Seattle, WA 98101"
222935,Ring,1,2.99,7/23/2019 12:20,"118 9th St, San Francisco, CA 94016"
222936,Gloves,1,149.99,7/4/2019 12:29,"483 West St, Boston, MA 02215"
222937,Sunglasses,2,14.95,7/3/2019 9:01,"538 North St, San Francisco, CA 94016"
222938,Apron,1,300,7/20/2019 17:49,"523 Hickory St, Dallas, TX 75001"
222939,Necklace,1,150,7/17/2019 21:53,"597 Madison St, Los Angeles, CA 90001"
222940,Watch,2,11.99,7/5/2019 15:06,"779 Maple St, San Francisco, CA 94016"
222941,Socks,1,150,7/2/2019 5:48,"631 Willow St, San Francisco, CA 94016"
222942,Tie,1,14.95,7/7/2019 10:00,"424 Church St, Portland, OR 97035"
222943,Bow tie,1,14.95,7/20/2019 23:39,"575 4th St, Seattle, WA 98101"
222944,Ring,1,149.99,7/7/2019 22:52,"70 Meadow St, San Francisco, CA 94016"
222945,Gloves,1,11.99,7/21/2019 21:51,"191 Dogwood St, Los Angeles, CA 90001"
222946,Scarf,1,109.99,7/14/2019 22:19,"49 Park St, New York City, NY 10001"
222947,Umbrella,1,999.99,7/16/2019 9:15,"612 Spruce St, New York City, NY 10001"
222948,Boots,1,11.95,7/10/2019 8:18,"631 12th St, San Francisco, CA 94016"
222949,Mittens,1,11.95,7/28/2019 17:24,"902 Cedar St, Dallas, TX 75001"
222950,Stockings,1,14.95,7/17/2019 19:05,"358 1st St, Dallas, TX 75001"
222951,Earmuffs,1,150,7/8/2019 12:34,"781 Maple St, San Francisco, CA 94016"
