Order ID,Accessorie,Quantity Ordered,Price Each,Order Date,Purchase Address
162009,Sunglasses,1,700,3/28/2019 20:59,"942 Church St, Austin, TX 73301"
162009,Apron,1,14.95,3/28/2019 20:59,"942 Church St, Austin, TX 73301"
162009,Necklace,2,11.99,3/28/2019 20:59,"942 Church St, Austin, TX 73301"
162010,Watch,1,99.99,3/17/2019 5:39,"261 10th St, San Francisco, CA 94016"
162011,Socks,1,379.99,3/10/2019 0:01,"764 13th St, San Francisco, CA 94016"
162012,Tie,1,3.84,3/20/2019 21:33,"187 Ridge St, San Francisco, CA 94016"
162013,Bow tie,1,379.99,3/15/2019 23:05,"904 Main St, Austin, TX 73301"
162014,Ring,1,11.95,3/1/2019 21:33,"10 13th St, San Francisco, CA 94016"
162015,Gloves,1,3.84,3/2/2019 8:52,"949 Jefferson St, Boston, MA 02215"
162016,Scarf,5,2.99,3/19/2019 21:10,"469 Highland St, Atlanta, GA 30301"
162017,Umbrella,1,14.95,3/2/2019 13:55,"449 River St, San Francisco, CA 94016"
,,,,,
162019,Mittens,1,2.99,3/5/2019 12:20,"639 4th St, Atlanta, GA 30301"
162020,Stockings,1,600,3/26/2019 18:17,"616 Jackson St, Dallas, TX 75001"
162021,Earmuffs,1,11.99,3/30/2019 12:02,"645 Wilson St, Los Angeles, CA 90001"
162022,Hair band,1,3.84,3/17/2019 22:18,"473 Hill St, New York City, NY 10001"
162023,Safety pin,1,150,3/11/2019 20:00,"404 Park St, San Francisco, CA 94016"
162024,Pocket watch,1,389.99,3/17/2019 9:22,"952 Willow St, Atlanta, GA 30301"
162025,Apron,1,2.99,3/7/2019 20:50,"110 7th St, Boston, MA 02215"
162026,Necklace,1,700,3/22/2019 22:31,"71 Pine St, Austin, TX 73301"
162027,Watch,1,2.99,3/16/2019 20:52,"421 Main St, Los Angeles, CA 90001"
162028,Socks,3,2.99,3/20/2019 15:23,"739 1st St, San Francisco, CA 94016"
162029,Tie,1,2.99,3/26/2019 12:17,"141 North St, Atlanta, GA 30301"
162030,Bow tie,1,600,3/9/2019 16:50,"463 4th St, San Francisco, CA 94016"
162031,Purse,1,14.95,3/28/2019 17:03,"131 Johnson St, Boston, MA 02215"
162032,Ring,1,14.95,3/31/2019 10:39,"498 4th St, Los Angeles, CA 90001"
162033,Gloves,1,700,3/19/2019 11:06,"267 Johnson St, Dallas, TX 75001"
162034,Sunglasses,1,11.95,3/26/2019 20:34,"104 Center St, Seattle, WA 98101"
162035,Apron,1,1700,3/8/2019 13:07,"44 4th St, Los Angeles, CA 90001"
162036,Necklace,1,14.95,3/9/2019 19:39,"905 Spruce St, San Francisco, CA 94016"
162037,Watch,1,700,3/23/2019 2:11,"277 Elm St, Los Angeles, CA 90001"
162037,Socks,1,14.95,3/23/2019 2:11,"277 Elm St, Los Angeles, CA 90001"
162038,Tie,2,2.99,3/18/2019 20:31,"53 10th St, Atlanta, GA 30301"
162039,Bow tie,1,3.84,3/29/2019 12:01,"175 West St, San Francisco, CA 94016"
162040,Ring,1,11.95,3/25/2019 9:11,"973 North St, Austin, TX 73301"
,,,,,
162042,Scarf,1,11.95,3/9/2019 22:39,"661 7th St, San Francisco, CA 94016"
162043,Umbrella,1,3.84,3/29/2019 10:59,"883 Walnut St, Atlanta, GA 30301"
162044,Boots,1,149.99,3/22/2019 10:11,"469 9th St, Dallas, TX 75001"
162045,Mittens,1,150,3/26/2019 13:31,"906 Park St, New York City, NY 10001"
162046,Stockings,2,2.99,3/20/2019 20:33,"661 1st St, San Francisco, CA 94016"
162047,Earmuffs,1,99.99,3/8/2019 18:41,"819 9th St, Austin, TX 73301"
162048,Hair band,1,3.84,3/31/2019 19:24,"819 Main St, New York City, NY 10001"
162049,Safety pin,1,14.95,3/25/2019 13:35,"307 Chestnut St, Austin, TX 73301"
162050,Pocket watch,1,2.99,3/26/2019 17:09,"870 Spruce St, Boston, MA 02215"
,,,,,
162052,Necklace,1,11.99,3/11/2019 9:44,"971 Washington St, Los Angeles, CA 90001"
162053,Watch,1,700,3/10/2019 18:29,"660 7th St, Seattle, WA 98101"
162054,Socks,1,11.99,3/20/2019 0:42,"358 5th St, San Francisco, CA 94016"
162055,Tie,1,3.84,3/29/2019 9:21,"675 8th St, Los Angeles, CA 90001"
162056,Bow tie,1,11.99,3/17/2019 10:24,"55 Adams St, San Francisco, CA 94016"
162057,Purse,1,11.99,3/30/2019 18:44,"485 Maple St, Los Angeles, CA 90001"
162058,Ring,1,149.99,3/30/2019 2:30,"510 Church St, New York City, NY 10001"
162059,Gloves,1,11.95,3/3/2019 5:47,"602 Willow St, Seattle, WA 98101"
162060,Sunglasses,3,2.99,3/10/2019 16:04,"703 Lake St, Seattle, WA 98101"
162061,Apron,1,11.99,3/1/2019 22:07,"967 10th St, New York City, NY 10001"
162062,Necklace,1,2.99,3/24/2019 3:37,"235 Park St, Portland, OR 97035"
162063,Watch,2,2.99,3/2/2019 11:58,"693 12th St, Austin, TX 73301"
162064,Socks,1,1700,3/5/2019 9:00,"414 Willow St, San Francisco, CA 94016"
162065,Tie,1,600,3/2/2019 13:18,"862 Spruce St, San Francisco, CA 94016"
162066,Bow tie,1,3.84,3/13/2019 13:57,"602 Pine St, New York City, NY 10001"
162066,Ring,2,11.95,3/13/2019 13:57,"602 Pine St, New York City, NY 10001"
162067,Gloves,1,999.99,3/7/2019 23:40,"4 Cedar St, San Francisco, CA 94016"
162068,Scarf,1,11.99,3/24/2019 12:25,"117 1st St, Austin, TX 73301"
162069,Umbrella,1,3.84,3/15/2019 16:53,"853 Park St, Boston, MA 02215"
162070,Boots,1,149.99,3/15/2019 18:19,"859 South St, Los Angeles, CA 90001"
162071,Mittens,1,400,3/30/2019 20:23,"334 Jackson St, Atlanta, GA 30301"
162071,Stockings,1,11.95,3/30/2019 20:23,"334 Jackson St, Atlanta, GA 30301"
162072,Earmuffs,1,3.84,3/2/2019 12:04,"945 Adams St, New York City, NY 10001"
162073,Hair band,1,99.99,3/23/2019 20:52,"573 Lakeview St, San Francisco, CA 94016"
162074,Safety pin,1,150,3/5/2019 12:45,"928 Dogwood St, San Francisco, CA 94016"
162075,Pocket watch,1,150,3/11/2019 9:19,"456 7th St, New York City, NY 10001"
162076,Apron,1,11.99,3/4/2019 9:12,"424 Wilson St, Dallas, TX 75001"
162077,Necklace,1,2.99,3/22/2019 11:54,"783 Johnson St, New York City, NY 10001"
162078,Watch,1,14.95,3/2/2019 16:48,"167 North St, San Francisco, CA 94016"
162079,Socks,1,600,3/24/2019 21:36,"144 West St, Los Angeles, CA 90001"
162080,Tie,1,150,3/24/2019 9:37,"245 Chestnut St, Boston, MA 02215"
162081,Bow tie,1,14.95,3/26/2019 20:58,"183 Dogwood St, Los Angeles, CA 90001"
162082,Purse,1,400,3/9/2019 14:15,"401 Wilson St, New York City, NY 10001"
162082,Ring,1,11.99,3/9/2019 14:15,"401 Wilson St, New York City, NY 10001"
162083,Gloves,1,11.99,3/27/2019 19:04,"162 Lakeview St, Atlanta, GA 30301"
162084,Sunglasses,1,700,3/27/2019 12:53,"585 14th St, Los Angeles, CA 90001"
162085,Apron,1,14.95,3/24/2019 19:52,"705 Highland St, San Francisco, CA 94016"
162086,Necklace,1,600,3/18/2019 9:12,"410 Chestnut St, New York City, NY 10001"
162087,Watch,1,600,3/18/2019 13:58,"303 Chestnut St, Boston, MA 02215"
162087,Socks,1,11.95,3/18/2019 13:58,"303 Chestnut St, Boston, MA 02215"
162088,Tie,1,600,3/2/2019 15:50,"231 Jackson St, Los Angeles, CA 90001"
162089,Bow tie,1,11.99,3/7/2019 12:25,"692 13th St, New York City, NY 10001"
162090,Ring,1,99.99,3/12/2019 13:03,"747 Wilson St, Austin, TX 73301"
162091,Gloves,1,99.99,3/18/2019 8:13,"926 Main St, Boston, MA 02215"
162092,Scarf,1,300,3/18/2019 11:29,"477 11th St, Seattle, WA 98101"
162092,Umbrella,1,2.99,3/18/2019 11:29,"477 11th St, Seattle, WA 98101"
162093,Boots,1,400,3/19/2019 11:32,"855 Lakeview St, Boston, MA 02215"
162094,Mittens,1,999.99,3/21/2019 3:42,"959 River St, Atlanta, GA 30301"
162095,Stockings,1,11.99,3/29/2019 13:18,"628 Lakeview St, Seattle, WA 98101"
162096,Earmuffs,1,99.99,3/4/2019 0:20,"323 Hill St, New York City, NY 10001"
162097,Hair band,1,300,3/28/2019 13:43,"929 Elm St, New York City, NY 10001"
162098,Safety pin,1,300,3/7/2019 15:44,"84 Center St, New York City, NY 10001"
162099,Pocket watch,1,11.95,3/3/2019 0:18,"598 Washington St, Los Angeles, CA 90001"
162100,Apron,1,11.99,3/4/2019 0:17,"635 Spruce St, Boston, MA 02215"
162101,Necklace,1,1700,3/30/2019 10:47,"253 11th St, Seattle, WA 98101"
162102,Watch,1,11.99,3/31/2019 19:51,"69 Center St, New York City, NY 10001"
162103,Socks,1,2.99,3/18/2019 20:50,"860 Main St, Portland, OR 97035"
162104,Tie,1,14.95,3/5/2019 15:25,"572 Walnut St, New York City, NY 10001"
162105,Bow tie,1,11.95,3/9/2019 8:45,"911 South St, Seattle, WA 98101"
162106,Purse,1,3.84,3/2/2019 15:25,"484 Cedar St, Los Angeles, CA 90001"
162107,Ring,1,11.99,3/29/2019 15:15,"260 14th St, Austin, TX 73301"
162108,Gloves,2,11.95,3/26/2019 11:38,"113 7th St, Los Angeles, CA 90001"
162109,Sunglasses,1,14.95,3/25/2019 11:12,"686 5th St, New York City, NY 10001"
162110,Apron,1,109.99,3/15/2019 9:05,"705 South St, Los Angeles, CA 90001"
162111,Necklace,3,3.84,3/8/2019 16:59,"561 West St, San Francisco, CA 94016"
162112,Watch,1,379.99,3/15/2019 21:52,"953 Spruce St, Boston, MA 02215"
162113,Socks,1,99.99,3/27/2019 13:09,"365 Cherry St, San Francisco, CA 94016"
162114,Tie,1,14.95,3/21/2019 14:29,"577 South St, Atlanta, GA 30301"
162115,Bow tie,1,300,3/26/2019 8:06,"93 Sunset St, San Francisco, CA 94016"
162116,Ring,1,11.95,3/9/2019 11:48,"446 Adams St, Dallas, TX 75001"
162117,Gloves,1,11.99,3/11/2019 14:12,"82 Lake St, New York City, NY 10001"
162118,Scarf,1,700,3/10/2019 22:32,"888 13th St, San Francisco, CA 94016"
162119,Umbrella,1,149.99,3/6/2019 13:46,"980 2nd St, Austin, TX 73301"
162120,Boots,1,1700,3/15/2019 18:43,"969 Washington St, Dallas, TX 75001"
162121,Mittens,1,11.95,3/20/2019 13:05,"355 Main St, Portland, OR 97035"
162122,Stockings,1,2.99,3/6/2019 10:22,"354 9th St, Seattle, WA 98101"
162123,Earmuffs,1,99.99,3/13/2019 18:02,"295 South St, San Francisco, CA 94016"
162124,Hair band,1,1700,3/27/2019 9:52,"8 West St, San Francisco, CA 94016"
162125,Safety pin,1,389.99,3/29/2019 12:16,"987 Chestnut St, San Francisco, CA 94016"
162126,Pocket watch,1,150,3/17/2019 19:41,"895 Jefferson St, Los Angeles, CA 90001"
162127,Apron,1,1700,3/25/2019 13:08,"603 12th St, San Francisco, CA 94016"
162128,Necklace,1,11.95,3/23/2019 22:59,"490 Jackson St, Seattle, WA 98101"
162129,Watch,1,2.99,3/11/2019 16:14,"962 Church St, San Francisco, CA 94016"
162130,Socks,1,11.95,3/8/2019 12:17,"211 Pine St, Dallas, TX 75001"
162131,Tie,1,11.95,3/10/2019 23:29,"334 Madison St, Boston, MA 02215"
162132,Bow tie,1,3.84,3/15/2019 6:52,"488 7th St, Boston, MA 02215"
162133,Purse,1,3.84,3/10/2019 9:28,"986 6th St, Seattle, WA 98101"
162134,Ring,1,400,3/17/2019 20:36,"186 North St, Atlanta, GA 30301"
162135,Gloves,1,11.95,3/23/2019 22:58,"112 Madison St, New York City, NY 10001"
162136,Sunglasses,1,3.84,3/28/2019 11:13,"708 4th St, San Francisco, CA 94016"
162137,Apron,1,99.99,3/14/2019 16:05,"275 Elm St, New York City, NY 10001"
162138,Necklace,1,109.99,3/19/2019 10:10,"628 Forest St, Seattle, WA 98101"
162139,Watch,1,379.99,3/21/2019 12:21,"869 9th St, New York City, NY 10001"
162140,Socks,1,999.99,3/6/2019 23:34,"622 Meadow St, Seattle, WA 98101"
162141,Tie,1,14.95,3/8/2019 19:03,"289 Chestnut St, New York City, NY 10001"
162142,Bow tie,1,400,3/1/2019 12:57,"479 Maple St, Atlanta, GA 30301"
162142,Ring,1,3.84,3/1/2019 12:57,"479 Maple St, Atlanta, GA 30301"
162143,Gloves,1,11.95,3/9/2019 13:26,"886 12th St, San Francisco, CA 94016"
162144,Scarf,1,1700,3/24/2019 13:04,"342 Dogwood St, San Francisco, CA 94016"
162145,Umbrella,1,99.99,3/11/2019 16:56,"680 10th St, New York City, NY 10001"
162146,Boots,1,150,3/11/2019 22:20,"326 Wilson St, Seattle, WA 98101"
162147,Mittens,1,11.99,3/5/2019 10:53,"310 Forest St, Austin, TX 73301"
162148,Stockings,1,11.95,3/17/2019 23:55,"434 4th St, Los Angeles, CA 90001"
162149,Earmuffs,1,150,3/5/2019 0:36,"371 Forest St, Austin, TX 73301"
162150,Hair band,1,3.84,3/28/2019 22:21,"963 4th St, Boston, MA 02215"
162151,Safety pin,1,99.99,3/25/2019 20:11,"53 Washington St, Dallas, TX 75001"
162152,Pocket watch,1,14.95,3/24/2019 9:42,"727 Lake St, Atlanta, GA 30301"
162153,Apron,1,149.99,3/8/2019 8:31,"647 Madison St, New York City, NY 10001"
162154,Necklace,1,999.99,3/30/2019 10:18,"932 Forest St, Los Angeles, CA 90001"
162155,Watch,1,3.84,3/28/2019 16:35,"706 11th St, Los Angeles, CA 90001"
162156,Socks,1,11.99,3/1/2019 22:47,"352 6th St, Portland, OR 97035"
162157,Tie,1,300,3/27/2019 18:56,"620 13th St, Boston, MA 02215"
162158,Bow tie,1,11.95,3/20/2019 17:50,"865 Hill St, San Francisco, CA 94016"
162159,Purse,1,11.99,3/30/2019 13:29,"776 9th St, Los Angeles, CA 90001"
162160,Ring,1,150,3/12/2019 19:50,"414 11th St, San Francisco, CA 94016"
162161,Gloves,1,11.99,3/30/2019 19:20,"853 14th St, Seattle, WA 98101"
162161,Sunglasses,2,2.99,3/30/2019 19:20,"853 14th St, Seattle, WA 98101"
162162,Apron,1,14.95,3/5/2019 8:32,"435 Hill St, New York City, NY 10001"
162163,Necklace,1,300,3/25/2019 7:48,"61 Sunset St, Los Angeles, CA 90001"
162164,Watch,1,3.84,3/1/2019 16:05,"954 2nd St, San Francisco, CA 94016"
162165,Socks,1,1700,3/12/2019 12:32,"911 Sunset St, San Francisco, CA 94016"
162166,Tie,1,2.99,3/6/2019 21:36,"989 Ridge St, Los Angeles, CA 90001"
162167,Bow tie,1,3.84,3/2/2019 13:36,"713 13th St, Dallas, TX 75001"
162168,Ring,1,379.99,3/20/2019 10:26,"699 11th St, Boston, MA 02215"
162169,Gloves,1,389.99,3/11/2019 13:43,"500 River St, Dallas, TX 75001"
162170,Scarf,2,11.99,3/16/2019 11:14,"397 10th St, San Francisco, CA 94016"
162171,Umbrella,1,14.95,3/16/2019 12:10,"597 11th St, New York City, NY 10001"
162172,Boots,1,11.99,3/3/2019 18:34,"176 Cherry St, San Francisco, CA 94016"
162173,Mittens,1,99.99,3/7/2019 14:09,"973 14th St, Los Angeles, CA 90001"
162174,Stockings,1,389.99,3/5/2019 18:44,"844 Main St, Seattle, WA 98101"
162175,Earmuffs,1,14.95,3/2/2019 11:09,"510 Forest St, Austin, TX 73301"
162176,Hair band,1,150,3/31/2019 19:38,"917 Chestnut St, Atlanta, GA 30301"
162177,Safety pin,1,999.99,3/22/2019 19:40,"323 14th St, Los Angeles, CA 90001"
162178,Pocket watch,1,14.95,3/11/2019 18:11,"436 Wilson St, Boston, MA 02215"
162179,Apron,1,2.99,3/25/2019 12:40,"712 Maple St, Seattle, WA 98101"
162180,Necklace,1,300,3/17/2019 14:55,"945 Willow St, Los Angeles, CA 90001"
162181,Watch,1,1700,3/3/2019 13:15,"423 Lake St, Los Angeles, CA 90001"
162182,Socks,1,600,3/19/2019 13:01,"455 Church St, Los Angeles, CA 90001"
162183,Tie,1,3.84,3/8/2019 16:22,"427 Adams St, Los Angeles, CA 90001"
162184,Bow tie,1,3.84,3/23/2019 16:51,"285 Ridge St, San Francisco, CA 94016"
162185,Purse,1,11.95,3/3/2019 7:26,"297 12th St, Los Angeles, CA 90001"
162186,Ring,5,2.99,3/5/2019 14:17,"180 Wilson St, Los Angeles, CA 90001"
162187,Gloves,1,600,3/16/2019 10:34,"964 9th St, San Francisco, CA 94016"
162187,Sunglasses,1,11.95,3/16/2019 10:34,"964 9th St, San Francisco, CA 94016"
162188,Apron,1,2.99,3/2/2019 20:28,"971 7th St, New York City, NY 10001"
162189,Necklace,1,700,3/23/2019 14:06,"892 11th St, San Francisco, CA 94016"
162189,Watch,1,14.95,3/23/2019 14:06,"892 11th St, San Francisco, CA 94016"
162189,Socks,1,389.99,3/23/2019 14:06,"892 11th St, San Francisco, CA 94016"
162190,Tie,1,11.99,3/4/2019 20:47,"478 Madison St, Boston, MA 02215"
162191,Bow tie,1,150,3/5/2019 20:49,"6 5th St, New York City, NY 10001"
162192,Ring,3,2.99,3/6/2019 18:27,"269 Highland St, Dallas, TX 75001"
162193,Gloves,1,14.95,3/14/2019 10:27,"29 Walnut St, San Francisco, CA 94016"
162194,Scarf,1,149.99,3/21/2019 21:22,"224 Cedar St, Austin, TX 73301"
162195,Umbrella,3,2.99,3/25/2019 7:23,"439 Madison St, Boston, MA 02215"
162196,Boots,1,3.84,3/24/2019 9:22,"164 Johnson St, Portland, OR 97035"
162197,Mittens,1,1700,3/1/2019 15:30,"85 Chestnut St, San Francisco, CA 94016"
162198,Stockings,1,99.99,3/16/2019 19:18,"322 Washington St, San Francisco, CA 94016"
162199,Earmuffs,1,1700,3/3/2019 17:41,"939 Dogwood St, Seattle, WA 98101"
162200,Hair band,1,109.99,3/15/2019 14:50,"596 Meadow St, San Francisco, CA 94016"
162201,Safety pin,1,150,3/29/2019 13:22,"608 Lincoln St, New York City, NY 10001"
162202,Pocket watch,1,149.99,3/28/2019 23:33,"975 North St, New York City, NY 10001"
162203,Apron,1,11.95,3/21/2019 10:24,"50 Hill St, San Francisco, CA 94016"
162204,Necklace,1,11.99,3/8/2019 12:24,"555 8th St, Los Angeles, CA 90001"
