Sales Representative,Location,Region,Customer,Order Date,Item,Quantity,Price,Total Sale Amount
Patrick Graham,Washington,West,Jeremy Baker,2016/04/01,Junk,8,12.42,99.36
Frances Warren,New Jersey,East,Albert Dunn,2016/04/01,Widgets,9,53.35,480.15
Sara Snyder,New York,East,Robert Hayes,2016/04/01,Junk,4,12.42,49.68
Randy Watson,New York,East,Cheryl Riley,2016/04/01,Widgets,5,53.35,266.75
Randy Watson,New Jersey,East,Kimberly Coleman,2016/04/01,Widgets,2,53.35,106.7
Patrick Graham,Oregon,West,Clarence Bishop,2016/04/01,Stuff,6,16.32,97.92
Diane Gonzalez,Washington,West,Judy Sanchez,2016/04/01,Stuff,8,16.32,130.56
Patrick Graham,Oregon,West,Gloria Mcdonald,2016/04/02,Junk,9,12.42,111.78
Patrick Graham,Oregon,West,Gary Moreno,2016/04/02,Things,7,17.83,124.81
Frances Warren,New Jersey,East,Kimberly Coleman,2016/04/02,Stuff,7,16.32,114.24
Diane Gonzalez,Washington,West,Joan Austin,2016/04/02,Widgets,3,53.35,160.05
Diane Gonzalez,California,West,Frank Garrett,2016/04/02,Widgets,9,53.35,480.15
Frances Warren,New York,East,Helen Dean,2016/04/02,Junk,7,12.42,86.94
Sara Snyder,New Jersey,East,Robert Collins,2016/04/02,Junk,2,12.42,24.84
Sara Snyder,New York,East,Janice Jackson,2016/04/02,Junk,2,12.42,24.84
Patrick Graham,Washington,West,Philip Rodriguez,2016/04/02,Junk,10,12.42,124.2
Sara Snyder,New York,East,Anthony Berry,2016/04/02,Stuff,3,16.32,48.96
Randy Watson,Connecticut,East,Sara Hawkins,2016/04/02,Widgets,10,53.35,533.5
Sara Snyder,New York,East,Cynthia Brooks,2016/04/02,Widgets,4,53.35,213.4
Diane Gonzalez,Oregon,West,Gary Moreno,2016/04/02,Things,1,17.83,17.83
Sara Snyder,Connecticut,East,Raymond Clark,2016/04/02,Junk,6,12.42,74.52
Sara Snyder,Massachusetts,East,Lillian Burke,2016/04/03,Junk,5,12.42,62.1
Randy Watson,Massachusetts,East,Alice Davis,2016/04/03,Things,7,17.83,124.81
Sara Snyder,New York,East,Helen Dean,2016/04/03,Junk,5,12.42,62.1
Frances Warren,Massachusetts,East,Joan Cooper,2016/04/03,Things,1,17.83,17.83
Diane Gonzalez,Washington,West,Joseph Willis,2016/04/03,Stuff,6,16.32,97.92
Patrick Graham,Washington,West,Craig Reyes,2016/04/03,Stuff,3,16.32,48.96
Randy Watson,New York,East,Juan Reed,2016/04/03,Junk,5,12.42,62.1
Diane Gonzalez,Nevada,West,Laura Mcdonald,2016/04/03,Junk,6,12.42,74.52
Sara Snyder,New York,East,Harold Daniels,2016/04/03,Junk,1,12.42,12.42
Randy Watson,Massachusetts,East,Joshua Diaz,2016/04/03,Things,1,17.83,17.83
