Sales Representative,Location,Region,Customer,Order Date,Item,Quantity,Price,Total Sale Amount
Randy Watson,Connecticut,East,Irene Franklin,2016/02/02,Widgets,3,53.35,160.05
Patrick Graham,Washington,West,Craig Thomas,2016/02/02,Junk,9,12.42,111.78
Sara Snyder,New Jersey,East,Laura Wells,2016/02/02,Stuff,10,16.32,163.2
Randy Watson,Massachusetts,East,Dennis Reed,2016/02/02,Junk,3,12.42,37.26
Sara Snyder,New York,East,Richard Walker,2016/02/02,Widgets,10,53.35,533.5
Randy Watson,New York,East,Jessica Lewis,2016/02/02,Widgets,7,53.35,373.45
Frances Warren,New Jersey,East,Chris George,2016/02/02,Things,6,17.83,106.98
Randy Watson,New York,East,Mark Rogers,2016/02/02,Junk,1,12.42,12.42
Randy Watson,Massachusetts,East,Robin Matthews,2016/02/02,Junk,10,12.42,124.2
Randy Watson,Massachusetts,East,Frank Murphy,2016/02/02,Things,6,17.83,106.98
Diane Gonzalez,Oregon,West,Lillian Howard,2016/02/02,Stuff,6,16.32,97.92
Frances Warren,Massachusetts,East,Ernest Kelley,2016/02/03,Junk,5,12.42,62.1
Sara Snyder,Massachusetts,East,Roy Franklin,2016/02/03,Widgets,7,53.35,373.45
Randy Watson,New Jersey,East,Anthony Ruiz,2016/02/03,Things,6,17.83,106.98
Diane Gonzalez,Washington,West,Christine Wallace,2016/02/03,Stuff,6,16.32,97.92
Sara Snyder,Massachusetts,East,Jennifer White,2016/02/03,Junk,10,12.42,124.2
Sara Snyder,New York,East,Albert Miller,2016/02/03,Junk,9,12.42,111.78
Diane Gonzalez,California,West,Andrea Lawrence,2016/02/03,Things,9,17.83,160.47
Randy Watson,New Jersey,East,Russell Day,2016/02/03,Stuff,9,16.32,146.88
Patrick Graham,Oregon,West,Edward Taylor,2016/02/03,Junk,9,12.42,111.78
Patrick Graham,Oregon,West,Kathy Lee,2016/02/03,Stuff,6,16.32,97.92
Patrick Graham,Washington,West,Joseph Willis,2016/02/03,Junk,10,12.42,124.2
Patrick Graham,California,West,Robin Murphy,2016/02/03,Junk,2,12.42,24.84
