Sales Representative,Location,Region,Customer,Order Date,Item,Quantity,Price,Total Sale Amount
Frances Warren,Connecticut,East,Annie Collins,2016/03/01,Junk,2,12.42,24.84
Sara Snyder,Massachusetts,East,Joan Cooper,2016/03/01,Junk,5,12.42,62.1
Sara Snyder,New Jersey,East,Todd Miller,2016/03/01,Stuff,10,16.32,163.2
Randy Watson,Massachusetts,East,Louise Green,2016/03/01,Widgets,8,53.35,426.8
Diane Gonzalez,Nevada,West,Michelle Elliott,2016/03/01,Widgets,3,53.35,160.05
Sara Snyder,Massachusetts,East,Walter Meyer,2016/03/01,Junk,3,12.42,37.26
Sara Snyder,New Jersey,East,Chris George,2016/03/01,Junk,3,12.42,37.26
Diane Gonzalez,Washington,West,Paula Ross,2016/03/01,Junk,8,12.42,99.36
Randy Watson,Massachusetts,East,Jean Fowler,2016/03/01,Stuff,6,16.32,97.92
Randy Watson,New Jersey,East,Stephen Welch,2016/03/01,Junk,3,12.42,37.26
Sara Snyder,New Jersey,East,Lisa Thomas,2016/03/01,Junk,7,12.42,86.94
Sara Snyder,Massachusetts,East,Brandon King,2016/03/01,Junk,10,12.42,124.2
Sara Snyder,Massachusetts,East,Shirley Rivera,2016/03/01,Widgets,9,53.35,480.15
Sara Snyder,Massachusetts,East,Teresa Walker,2016/03/01,Stuff,3,16.32,48.96
Frances Warren,New Jersey,East,Jennifer Simpson,2016/03/01,Things,8,17.83,142.64
Sara Snyder,Massachusetts,East,Walter Meyer,2016/03/01,Stuff,2,16.32,32.64
Randy Watson,Massachusetts,East,Frank Murphy,2016/03/01,Widgets,6,53.35,320.1
Randy Watson,New York,East,Louis Marshall,2016/03/01,Things,10,17.83,178.3
Sara Snyder,Massachusetts,East,Douglas Duncan,2016/03/01,Widgets,10,53.35,533.5
Diane Gonzalez,Oregon,West,Kelly Gomez,2016/03/02,Widgets,5,53.35,266.75
Frances Warren,New Jersey,East,Edward Wells,2016/03/02,Stuff,2,16.32,32.64
Patrick Graham,Oregon,West,Billy Scott,2016/03/02,Junk,2,12.42,24.84
Randy Watson,Massachusetts,East,Rose Baker,2016/03/02,Widgets,4,53.35,213.4
Diane Gonzalez,California,West,Brenda Nelson,2016/03/02,Junk,8,12.42,99.36
Randy Watson,New Jersey,East,Edward Wells,2016/03/02,Widgets,7,53.35,373.45
Sara Snyder,New Jersey,East,Tammy Hart,2016/03/02,Junk,4,12.42,49.68
Randy Watson,New Jersey,East,Theresa Torres,2016/03/02,Junk,6,12.42,74.52
Sara Snyder,Connecticut,East,Phyllis Grant,2016/03/02,Widgets,8,53.35,426.8
Sara Snyder,Massachusetts,East,Joe Russell,2016/03/02,Stuff,5,16.32,81.6
Patrick Graham,Oregon,West,Clarence Bishop,2016/03/02,Stuff,1,16.32,16.32
Sara Snyder,Connecticut,East,Albert Bradley,2016/03/02,Junk,4,12.42,49.68
Patrick Graham,California,West,Timothy Gonzales,2016/03/02,Junk,10,12.42,124.2
Sara Snyder,New York,East,Tina Jones,2016/03/02,Stuff,6,16.32,97.92
Sara Snyder,Connecticut,East,Ryan Arnold,2016/03/02,Stuff,7,16.32,114.24
Diane Gonzalez,Washington,West,Arthur Green,2016/03/03,Junk,9,12.42,111.78
Randy Watson,Connecticut,East,Carlos Stephens,2016/03/03,Junk,6,12.42,74.52
Sara Snyder,Massachusetts,East,Amanda Bryant,2016/03/03,Stuff,2,16.32,32.64
