Sales Representative,Location,Region,Customer,Order Date,Item,Quantity,Price,Total Sale Amount
Diane Gonzalez,Washington,West,Maria Romero,2016/05/01,Junk,1,12.42,12.42
Sara Snyder,Connecticut,East,Betty Hicks,2016/05/01,Junk,5,12.42,62.1
Randy Watson,Massachusetts,East,Joe Russell,2016/05/01,Junk,6,12.42,74.52
Sara Snyder,Massachusetts,East,Bruce Reynolds,2016/05/01,Junk,1,12.42,12.42
Sara Snyder,New York,East,Louis Marshall,2016/05/01,Junk,4,12.42,49.68
Sara Snyder,Massachusetts,East,Carolyn Scott,2016/05/02,Things,6,17.83,106.98
Randy Watson,Massachusetts,East,Gregory Thompson,2016/05/02,Things,9,17.83,160.47
Sara Snyder,New Jersey,East,Amy Olson,2016/05/02,Widgets,9,53.35,480.15
Sara Snyder,Massachusetts,East,Janice Mason,2016/05/02,Widgets,10,53.35,533.5
Sara Snyder,Massachusetts,East,Juan Olson,2016/05/02,Junk,9,12.42,111.78
Patrick Graham,California,West,Laura Gutierrez,2016/05/02,Junk,2,12.42,24.84
Sara Snyder,New York,East,Sharon Rose,2016/05/02,Junk,2,12.42,24.84
Sara Snyder,New Jersey,East,Peter Brown,2016/05/02,Things,8,17.83,142.64
Randy Watson,Massachusetts,East,Jason Patterson,2016/05/02,Widgets,2,53.35,106.7
Sara Snyder,New York,East,Tina Jones,2016/05/02,Junk,4,12.42,49.68
Randy Watson,New York,East,Lawrence Ruiz,2016/05/02,Things,1,17.83,17.83
Patrick Graham,California,West,Diane Lewis,2016/05/02,Junk,5,12.42,62.1
Sara Snyder,Massachusetts,East,Thomas Robinson,2016/05/02,Stuff,9,16.32,146.88
Randy Watson,Massachusetts,East,Juan Olson,2016/05/02,Junk,2,12.42,24.84
Frances Warren,New York,East,Anne Fisher,2016/05/02,Widgets,1,53.35,53.35
Randy Watson,Massachusetts,East,Gregory Thompson,2016/05/03,Junk,1,12.42,12.42
Sara Snyder,New Jersey,East,James Wheeler,2016/05/03,Junk,7,12.42,86.94
Randy Watson,New York,East,Anna Wheeler,2016/05/03,Widgets,4,53.35,213.4
Patrick Graham,California,West,Timothy Gonzales,2016/05/03,Junk,7,12.42,86.94
Frances Warren,Connecticut,East,Clarence Mason,2016/05/03,Widgets,8,53.35,426.8
Frances Warren,New York,East,Kimberly Morris,2016/05/03,Things,9,17.83,160.47
Sara Snyder,Massachusetts,East,Gregory Thompson,2016/05/03,Stuff,4,16.32,65.28
Patrick Graham,California,West,Helen Diaz,2016/05/03,Junk,6,12.42,74.52
Sara Snyder,New Jersey,East,Denise Mitchell,2016/05/03,Stuff,9,16.32,146.88
Patrick Graham,Nevada,West,Craig Lewis,2016/05/03,Things,1,17.83,17.83
Frances Warren,New York,East,Karen Gray,2016/05/03,Stuff,4,16.32,65.28
Randy Watson,Massachusetts,East,Diana Pierce,2016/05/04,Junk,9,12.42,111.78
Patrick Graham,California,West,Judy Lopez,2016/05/04,Widgets,6,53.35,320.1
Patrick Graham,Oregon,West,Gary Moreno,2016/05/04,Junk,10,12.42,124.2
Diane Gonzalez,Washington,West,Daniel Perez,2016/05/04,Junk,4,12.42,49.68
