Order ID,Accessorie,Quantity Ordered,Price Each,Order Date,Purchase Address
236670,Sunglasses,2,11.99,8/31/2019 22:21,"359 Spruce St, Seattle, WA 98101"
236671,Apron,1,99.99,8/15/2019 15:11,"492 Ridge St, Dallas, TX 75001"
236672,Necklace,1,700,8/6/2019 14:40,"149 7th St, Portland, OR 97035"
236673,Watch,2,3.84,8/29/2019 20:59,"631 2nd St, Los Angeles, CA 90001"
236674,Socks,2,3.84,8/15/2019 19:53,"736 14th St, New York City, NY 10001"
236675,Tie,1,11.99,8/2/2019 23:54,"470 Hill St, San Francisco, CA 94016"
236676,Bow tie,1,379.99,8/4/2019 19:52,"470 Cherry St, Los Angeles, CA 90001"
236677,Ring,1,109.99,8/13/2019 7:16,"918 6th St, San Francisco, CA 94016"
236678,Gloves,1,11.99,8/25/2019 20:11,"58 9th St, San Francisco, CA 94016"
236679,Scarf,1,1700,8/7/2019 15:43,"239 Spruce St, Los Angeles, CA 90001"
236680,Umbrella,1,600,8/9/2019 19:38,"967 Willow St, San Francisco, CA 94016"
236681,Boots,1,3.84,8/26/2019 20:52,"295 1st St, Boston, MA 02215"
236682,Mittens,1,3.84,8/19/2019 12:40,"118 Johnson St, Portland, OR 97035"
236683,Stockings,1,149.99,8/31/2019 15:47,"196 West St, Dallas, TX 75001"
236684,Earmuffs,1,14.95,8/9/2019 16:50,"669 12th St, New York City, NY 10001"
236685,Hair band,1,150,8/23/2019 19:29,"238 Highland St, Atlanta, GA 30301"
236686,Safety pin,1,2.99,8/15/2019 19:13,"766 Maple St, Dallas, TX 75001"
236687,Pocket watch,1,11.95,8/23/2019 12:54,"668 Meadow St, New York City, NY 10001"
236688,Apron,1,379.99,8/8/2019 16:06,"821 7th St, Los Angeles, CA 90001"
236689,Necklace,1,2.99,8/21/2019 10:55,"13 Cedar St, San Francisco, CA 94016"
236690,Watch,1,2.99,8/8/2019 12:00,"139 River St, San Francisco, CA 94016"
236691,Socks,1,11.95,8/23/2019 7:34,"916 Meadow St, Boston, MA 02215"
236692,Tie,1,11.95,8/20/2019 13:26,"567 Center St, San Francisco, CA 94016"
236693,Bow tie,1,389.99,8/12/2019 21:57,"173 West St, Portland, OR 97035"
236694,Purse,1,150,8/14/2019 23:45,"854 Sunset St, New York City, NY 10001"
236695,Ring,1,99.99,8/4/2019 19:06,"905 Pine St, San Francisco, CA 94016"
236696,Gloves,1,14.95,8/21/2019 0:48,"530 Church St, New York City, NY 10001"
236697,Sunglasses,1,3.84,8/25/2019 23:13,"246 Willow St, San Francisco, CA 94016"
236698,Apron,1,11.99,8/7/2019 13:40,"526 Chestnut St, Dallas, TX 75001"
236699,Necklace,2,3.84,8/20/2019 21:07,"763 Hill St, Atlanta, GA 30301"
236700,Watch,1,11.99,8/9/2019 8:55,"534 North St, Los Angeles, CA 90001"
236701,Socks,1,150,8/6/2019 10:36,"518 Main St, San Francisco, CA 94016"
236702,Tie,1,999.99,8/23/2019 11:10,"615 11th St, Dallas, TX 75001"
236703,Bow tie,1,99.99,8/8/2019 6:09,"861 Adams St, Atlanta, GA 30301"
236704,Ring,1,300,8/11/2019 8:52,"415 Ridge St, San Francisco, CA 94016"
236705,Gloves,3,3.84,8/11/2019 22:21,"27 North St, Austin, TX 73301"
236706,Scarf,1,600,8/14/2019 14:19,"621 North St, San Francisco, CA 94016"
236707,Umbrella,2,3.84,8/14/2019 14:06,"306 West St, Los Angeles, CA 90001"
236708,Boots,1,150,8/27/2019 14:00,"353 Madison St, San Francisco, CA 94016"
236709,Mittens,1,700,8/4/2019 9:00,"869 Jackson St, San Francisco, CA 94016"
236710,Stockings,1,1700,8/4/2019 2:46,"654 Chestnut St, Austin, TX 73301"
236711,Earmuffs,1,1700,8/28/2019 17:28,"627 Lincoln St, Dallas, TX 75001"
236712,Hair band,2,3.84,8/30/2019 7:14,"548 Jefferson St, Boston, MA 02215"
236713,Safety pin,1,149.99,8/5/2019 20:00,"852 8th St, San Francisco, CA 94016"
236714,Pocket watch,1,389.99,8/30/2019 9:07,"194 Dogwood St, Atlanta, GA 30301"
236715,Apron,1,389.99,8/23/2019 11:20,"628 Jefferson St, Portland, OR 97035"
236716,Necklace,2,3.84,8/17/2019 20:12,"84 Cedar St, San Francisco, CA 94016"
236716,Watch,1,11.95,8/17/2019 20:12,"84 Cedar St, San Francisco, CA 94016"
236717,Socks,1,600,8/11/2019 12:26,"394 12th St, Atlanta, GA 30301"
236718,Tie,1,150,8/10/2019 13:48,"499 7th St, San Francisco, CA 94016"
236719,Bow tie,1,2.99,8/5/2019 12:09,"948 2nd St, Atlanta, GA 30301"
236720,Purse,1,150,8/24/2019 16:49,"881 10th St, Dallas, TX 75001"
236721,Ring,1,150,8/2/2019 12:24,"198 Highland St, Seattle, WA 98101"
236722,Gloves,2,2.99,8/7/2019 12:42,"241 6th St, San Francisco, CA 94016"
236723,Sunglasses,1,150,8/1/2019 18:56,"654 Pine St, New York City, NY 10001"
236724,Apron,1,150,8/21/2019 1:08,"238 Hickory St, San Francisco, CA 94016"
236725,Necklace,3,2.99,8/24/2019 20:15,"590 Lakeview St, San Francisco, CA 94016"
236726,Watch,1,3.84,8/29/2019 9:25,"434 Church St, Boston, MA 02215"
236727,Socks,1,11.95,8/19/2019 8:10,"557 North St, New York City, NY 10001"
236728,Tie,1,999.99,8/10/2019 11:21,"526 North St, Portland, ME 04101"
236729,Bow tie,1,700,8/9/2019 9:28,"635 Lake St, San Francisco, CA 94016"
236729,Ring,1,150,8/9/2019 9:28,"635 Lake St, San Francisco, CA 94016"
236730,Gloves,1,600,8/2/2019 10:17,"445 Lincoln St, New York City, NY 10001"
236730,Scarf,1,11.99,8/2/2019 10:17,"445 Lincoln St, New York City, NY 10001"
236731,Umbrella,1,2.99,8/29/2019 12:40,"62 Center St, San Francisco, CA 94016"
236732,Boots,1,300,8/9/2019 13:35,"328 North St, Dallas, TX 75001"
236733,Mittens,1,150,8/8/2019 10:21,"467 Hill St, Dallas, TX 75001"
236734,Stockings,2,3.84,8/14/2019 16:52,"405 Chestnut St, Dallas, TX 75001"
236735,Earmuffs,1,150,8/18/2019 22:08,"599 North St, Boston, MA 02215"
236736,Hair band,1,11.99,8/3/2019 17:36,"754 Chestnut St, Los Angeles, CA 90001"
236737,Safety pin,1,3.84,8/24/2019 8:51,"908 Park St, San Francisco, CA 94016"
236738,Pocket watch,1,300,8/30/2019 15:07,"672 7th St, New York City, NY 10001"
236739,Apron,1,11.95,8/31/2019 12:46,"949 Church St, Boston, MA 02215"
236740,Necklace,1,11.95,8/12/2019 7:30,"950 13th St, San Francisco, CA 94016"
236741,Watch,1,11.95,8/8/2019 12:39,"26 Washington St, Boston, MA 02215"
236742,Socks,1,1700,8/11/2019 1:47,"701 1st St, San Francisco, CA 94016"
236743,Tie,1,14.95,8/27/2019 12:55,"826 Forest St, Los Angeles, CA 90001"
236744,Bow tie,1,2.99,8/9/2019 20:21,"11 Wilson St, Atlanta, GA 30301"
236745,Purse,1,2.99,8/17/2019 21:01,"850 Ridge St, San Francisco, CA 94016"
236746,Ring,2,2.99,8/13/2019 9:52,"585 Spruce St, Los Angeles, CA 90001"
236747,Gloves,1,2.99,8/2/2019 15:19,"255 Cherry St, New York City, NY 10001"
236748,Sunglasses,1,99.99,8/19/2019 16:40,"977 13th St, New York City, NY 10001"
236749,Apron,1,2.99,8/30/2019 20:13,"498 Johnson St, Austin, TX 73301"
236750,Necklace,1,300,8/25/2019 8:37,"806 Ridge St, Boston, MA 02215"
236751,Watch,1,389.99,8/3/2019 9:18,"534 Washington St, Portland, ME 04101"
236752,Socks,1,389.99,8/27/2019 21:41,"765 Lakeview St, Austin, TX 73301"
236753,Tie,1,14.95,8/18/2019 19:28,"501 Lakeview St, New York City, NY 10001"
236754,Bow tie,1,14.95,8/13/2019 10:29,"872 Ridge St, Seattle, WA 98101"
236755,Ring,1,11.99,8/19/2019 13:59,"902 2nd St, Dallas, TX 75001"
236756,Gloves,1,3.84,8/31/2019 18:36,"444 West St, Boston, MA 02215"
236757,Scarf,1,11.95,8/7/2019 19:28,"969 Spruce St, Seattle, WA 98101"
236758,Umbrella,1,300,8/18/2019 13:55,"155 Hickory St, Los Angeles, CA 90001"
