Order ID,Accessorie,Quantity Ordered,Price Each,Order Date,Purchase Address
150502,Sunglasses,1,700,2/18/2019 1:35,"866 Spruce St, Portland, ME 04101"
150503,Apron,1,3.84,2/13/2019 7:24,"18 13th St, San Francisco, CA 94016"
150504,Necklace,1,389.99,2/18/2019 9:46,"52 6th St, New York City, NY 10001"
150505,Watch,1,14.95,2/2/2019 16:47,"129 Cherry St, Atlanta, GA 30301"
150506,Socks,2,3.84,2/28/2019 20:32,"548 Lincoln St, Seattle, WA 98101"
150507,Tie,1,14.95,2/24/2019 18:50,"387 12th St, Austin, TX 73301"
150508,Bow tie,1,3.84,2/21/2019 19:26,"622 Center St, San Francisco, CA 94016"
150509,Ring,1,150,2/26/2019 19:53,"921 6th St, Seattle, WA 98101"
150510,Gloves,1,11.95,2/17/2019 21:48,"451 2nd St, Los Angeles, CA 90001"
150511,Scarf,1,11.95,2/22/2019 7:36,"689 River St, San Francisco, CA 94016"
150512,Umbrella,1,99.99,2/17/2019 18:29,"198 Center St, Los Angeles, CA 90001"
150513,Boots,1,99.99,2/25/2019 20:49,"777 Spruce St, Los Angeles, CA 90001"
150514,Mittens,1,149.99,2/3/2019 0:21,"723 Wilson St, Los Angeles, CA 90001"
150515,Stockings,1,150,2/18/2019 14:53,"101 13th St, New York City, NY 10001"
150516,Earmuffs,1,14.95,2/20/2019 12:29,"303 Sunset St, Atlanta, GA 30301"
150517,Hair band,1,11.99,2/8/2019 12:57,"471 13th St, San Francisco, CA 94016"
150518,Safety pin,1,1700,2/26/2019 12:38,"847 10th St, San Francisco, CA 94016"
150518,Pocket watch,1,700,2/26/2019 12:38,"847 10th St, San Francisco, CA 94016"
150519,Apron,1,11.99,2/23/2019 13:25,"111 Hill St, Dallas, TX 75001"
150520,Necklace,2,3.84,2/27/2019 14:39,"512 Church St, Dallas, TX 75001"
150521,Watch,1,300,2/27/2019 20:07,"588 1st St, Los Angeles, CA 90001"
150522,Socks,1,109.99,2/12/2019 0:00,"633 Cherry St, Boston, MA 02215"
150523,Tie,1,600,2/27/2019 20:24,"452 8th St, San Francisco, CA 94016"
150524,Bow tie,1,11.99,2/28/2019 13:47,"311 8th St, Austin, TX 73301"
150525,Purse,1,109.99,2/25/2019 9:38,"874 Jefferson St, San Francisco, CA 94016"
150526,Ring,1,2.99,2/15/2019 11:31,"85 Park St, Boston, MA 02215"
150527,Gloves,1,11.95,2/7/2019 14:33,"165 Jefferson St, Los Angeles, CA 90001"
150528,Sunglasses,2,2.99,2/26/2019 23:17,"426 Lake St, Los Angeles, CA 90001"
150529,Apron,4,3.84,2/11/2019 13:10,"116 Elm St, Seattle, WA 98101"
150530,Necklace,1,999.99,2/5/2019 14:19,"752 Park St, Los Angeles, CA 90001"
150531,Watch,1,11.95,2/28/2019 18:16,"457 Maple St, Los Angeles, CA 90001"
150532,Socks,1,11.95,2/4/2019 22:57,"645 Walnut St, San Francisco, CA 94016"
150533,Tie,1,2.99,3/1/2019 3:06,"270 Dogwood St, San Francisco, CA 94016"
150534,Bow tie,2,2.99,2/12/2019 22:02,"246 9th St, Los Angeles, CA 90001"
150535,Ring,1,2.99,2/21/2019 11:46,"961 2nd St, San Francisco, CA 94016"
150536,Gloves,1,11.99,2/13/2019 22:43,"134 8th St, Los Angeles, CA 90001"
150537,Scarf,1,11.99,2/23/2019 13:31,"437 12th St, San Francisco, CA 94016"
150538,Umbrella,1,150,2/22/2019 17:28,"553 12th St, Atlanta, GA 30301"
150539,Boots,2,3.84,2/18/2019 16:46,"103 14th St, San Francisco, CA 94016"
150540,Mittens,1,150,2/18/2019 15:23,"218 Ridge St, Atlanta, GA 30301"
150541,Stockings,1,2.99,3/1/2019 1:03,"683 Adams St, Portland, OR 97035"
150542,Earmuffs,1,3.84,2/2/2019 19:46,"517 10th St, Austin, TX 73301"
150543,Hair band,1,11.99,2/8/2019 9:21,"268 Sunset St, Boston, MA 02215"
150544,Safety pin,1,14.95,2/10/2019 17:19,"723 Elm St, Los Angeles, CA 90001"
150545,Pocket watch,1,1700,2/25/2019 20:35,"905 Meadow St, Atlanta, GA 30301"
150546,Apron,1,2.99,2/7/2019 14:01,"43 1st St, Atlanta, GA 30301"
150547,Necklace,1,2.99,2/6/2019 17:51,"511 Washington St, San Francisco, CA 94016"
150548,Watch,1,1700,2/18/2019 22:56,"750 Forest St, Boston, MA 02215"
150549,Socks,1,700,2/5/2019 20:33,"522 West St, Boston, MA 02215"
150550,Tie,1,999.99,2/17/2019 14:45,"261 Washington St, Los Angeles, CA 90001"
150551,Bow tie,1,389.99,2/2/2019 8:25,"726 West St, Seattle, WA 98101"
150552,Purse,1,11.99,2/21/2019 19:06,"954 13th St, Boston, MA 02215"
150553,Ring,1,379.99,2/20/2019 21:42,"700 1st St, Dallas, TX 75001"
150554,Gloves,1,3.84,2/12/2019 6:49,"33 Johnson St, New York City, NY 10001"
150555,Sunglasses,1,149.99,2/18/2019 11:27,"714 Adams St, Portland, OR 97035"
150556,Apron,1,14.95,2/10/2019 13:25,"419 Hill St, Los Angeles, CA 90001"
150557,Necklace,2,3.84,2/22/2019 21:41,"372 5th St, Seattle, WA 98101"
150558,Watch,1,11.99,2/4/2019 16:09,"864 Hickory St, Boston, MA 02215"
150559,Socks,1,150,2/7/2019 23:41,"506 Willow St, Boston, MA 02215"
150560,Tie,1,150,2/5/2019 14:29,"178 14th St, San Francisco, CA 94016"
150561,Bow tie,1,11.99,2/22/2019 17:55,"888 Jefferson St, New York City, NY 10001"
150562,Ring,1,389.99,2/16/2019 20:07,"663 1st St, Atlanta, GA 30301"
150563,Gloves,1,700,2/20/2019 2:09,"631 Pine St, San Francisco, CA 94016"
150564,Scarf,1,11.95,2/28/2019 13:55,"579 9th St, Atlanta, GA 30301"
150565,Umbrella,1,11.99,2/24/2019 19:08,"406 Lincoln St, Seattle, WA 98101"
150566,Boots,1,149.99,2/21/2019 18:30,"230 Pine St, Los Angeles, CA 90001"
150567,Mittens,1,150,2/26/2019 16:12,"466 South St, Dallas, TX 75001"
150568,Stockings,1,11.99,2/15/2019 22:49,"651 Johnson St, New York City, NY 10001"
150569,Earmuffs,3,3.84,2/4/2019 13:11,"981 Lake St, Seattle, WA 98101"
150570,Hair band,1,11.99,2/18/2019 18:12,"786 Meadow St, San Francisco, CA 94016"
150571,Safety pin,1,14.95,2/23/2019 22:41,"571 Hickory St, San Francisco, CA 94016"
150572,Pocket watch,1,149.99,2/6/2019 7:38,"523 Spruce St, Atlanta, GA 30301"
150573,Apron,1,150,2/25/2019 11:32,"455 Highland St, Los Angeles, CA 90001"
150574,Necklace,1,14.95,2/17/2019 19:51,"25 7th St, Portland, OR 97035"
150575,Watch,1,3.84,2/10/2019 11:44,"776 Elm St, Los Angeles, CA 90001"
,,,,,
150576,Tie,1,99.99,2/2/2019 1:33,"43 South St, San Francisco, CA 94016"
150577,Bow tie,1,3.84,2/25/2019 13:27,"122 Spruce St, Seattle, WA 98101"
150578,Purse,1,11.95,2/6/2019 19:05,"193 Pine St, San Francisco, CA 94016"
150579,Ring,1,11.95,2/27/2019 20:11,"320 North St, Los Angeles, CA 90001"
150580,Gloves,1,3.84,2/11/2019 22:06,"399 5th St, New York City, NY 10001"
150581,Sunglasses,1,3.84,2/21/2019 19:51,"144 Washington St, Seattle, WA 98101"
150582,Apron,1,700,2/16/2019 23:38,"678 Maple St, Seattle, WA 98101"
150582,Necklace,1,14.95,2/16/2019 23:38,"678 Maple St, Seattle, WA 98101"
150583,Watch,1,149.99,2/1/2019 20:56,"159 Maple St, Seattle, WA 98101"
150584,Socks,1,2.99,2/24/2019 21:41,"971 Park St, Boston, MA 02215"
150585,Tie,1,11.95,2/16/2019 14:04,"55 Walnut St, Seattle, WA 98101"
150586,Bow tie,1,150,2/12/2019 19:25,"671 12th St, San Francisco, CA 94016"
150587,Ring,1,14.95,2/11/2019 17:43,"290 Meadow St, Seattle, WA 98101"
150588,Gloves,2,2.99,2/9/2019 9:33,"823 Cedar St, Los Angeles, CA 90001"
150589,Scarf,1,300,2/24/2019 12:02,"123 Washington St, San Francisco, CA 94016"
150590,Umbrella,1,150,2/8/2019 9:35,"196 River St, San Francisco, CA 94016"
150590,Boots,1,2.99,2/8/2019 9:35,"196 River St, San Francisco, CA 94016"
150591,Mittens,1,2.99,2/12/2019 15:29,"362 Main St, Portland, OR 97035"
150592,Stockings,1,11.95,2/2/2019 9:27,"756 6th St, Los Angeles, CA 90001"
150593,Earmuffs,1,99.99,2/15/2019 16:58,"441 Park St, New York City, NY 10001"
150594,Hair band,1,11.95,2/19/2019 18:54,"286 8th St, San Francisco, CA 94016"
150595,Safety pin,1,11.95,2/12/2019 6:12,"734 Cherry St, San Francisco, CA 94016"
150596,Pocket watch,1,2.99,2/7/2019 14:38,"724 Ridge St, Dallas, TX 75001"
150597,Apron,1,11.95,2/18/2019 16:08,"758 Lincoln St, Boston, MA 02215"
150598,Necklace,1,11.99,2/21/2019 15:25,"841 12th St, Boston, MA 02215"
150599,Watch,1,109.99,2/19/2019 12:08,"677 South St, Atlanta, GA 30301"
150600,Socks,1,3.84,2/11/2019 0:57,"353 11th St, San Francisco, CA 94016"
150601,Tie,2,2.99,2/16/2019 13:24,"24 Highland St, Atlanta, GA 30301"
150602,Bow tie,1,150,2/11/2019 9:44,"207 Wilson St, Los Angeles, CA 90001"
150603,Purse,1,11.95,2/18/2019 14:44,"772 Johnson St, Seattle, WA 98101"
150604,Ring,1,3.84,2/26/2019 17:09,"125 Hickory St, Atlanta, GA 30301"
150605,Gloves,1,11.95,2/6/2019 14:27,"443 Park St, San Francisco, CA 94016"
150606,Sunglasses,1,3.84,2/28/2019 10:17,"810 Madison St, Atlanta, GA 30301"
150607,Apron,1,14.95,2/27/2019 19:36,"469 Church St, San Francisco, CA 94016"
150608,Necklace,1,999.99,2/20/2019 11:53,"383 10th St, San Francisco, CA 94016"
150609,Watch,1,11.95,2/9/2019 20:23,"403 North St, New York City, NY 10001"
150610,Socks,1,149.99,2/19/2019 10:42,"409 Church St, Boston, MA 02215"
150611,Tie,1,2.99,2/4/2019 16:49,"961 5th St, Portland, OR 97035"
150612,Bow tie,1,11.95,2/28/2019 20:14,"321 7th St, Los Angeles, CA 90001"
150613,Ring,1,3.84,2/8/2019 13:05,"198 Walnut St, Los Angeles, CA 90001"
150614,Gloves,2,3.84,2/5/2019 17:18,"709 Cedar St, Boston, MA 02215"
150615,Scarf,1,149.99,2/27/2019 13:34,"814 Highland St, New York City, NY 10001"
150616,Umbrella,1,389.99,2/5/2019 20:35,"985 Jackson St, Portland, OR 97035"
150617,Boots,1,600,2/25/2019 0:02,"551 Sunset St, New York City, NY 10001"
150617,Mittens,1,11.95,2/25/2019 0:02,"551 Sunset St, New York City, NY 10001"
150618,Stockings,1,11.95,2/24/2019 12:20,"659 8th St, Portland, OR 97035"
150619,Earmuffs,1,11.95,2/17/2019 17:23,"529 Madison St, Los Angeles, CA 90001"
150620,Hair band,1,150,2/7/2019 15:12,"808 1st St, Los Angeles, CA 90001"
150621,Safety pin,1,3.84,2/5/2019 13:01,"173 Dogwood St, Boston, MA 02215"
150622,Pocket watch,1,379.99,2/12/2019 16:05,"230 Washington St, Boston, MA 02215"
150623,Apron,1,700,2/5/2019 22:46,"96 7th St, Seattle, WA 98101"
150624,Necklace,1,379.99,2/16/2019 9:59,"582 Wilson St, Los Angeles, CA 90001"
150625,Watch,1,2.99,2/21/2019 14:54,"19 5th St, New York City, NY 10001"
150626,Socks,2,3.84,2/26/2019 23:55,"464 Center St, Dallas, TX 75001"
150627,Tie,1,11.95,2/17/2019 7:01,"106 10th St, Portland, OR 97035"
150628,Bow tie,2,14.95,2/25/2019 17:22,"206 Spruce St, San Francisco, CA 94016"
150629,Purse,1,3.84,2/28/2019 18:17,"686 2nd St, Los Angeles, CA 90001"
150630,Ring,1,150,2/14/2019 9:15,"274 Sunset St, Dallas, TX 75001"
150631,Gloves,1,109.99,2/26/2019 14:12,"483 14th St, Atlanta, GA 30301"
150632,Sunglasses,1,11.99,2/18/2019 21:48,"108 Adams St, New York City, NY 10001"
150633,Apron,1,11.99,2/9/2019 14:21,"566 Lake St, Los Angeles, CA 90001"
150634,Necklace,1,11.95,2/11/2019 17:17,"463 Hickory St, New York City, NY 10001"
150635,Watch,1,700,2/10/2019 17:43,"129 Center St, Seattle, WA 98101"
150636,Socks,1,11.95,2/15/2019 11:59,"589 Walnut St, Portland, OR 97035"
150637,Tie,1,150,2/2/2019 17:37,"23 Church St, Austin, TX 73301"
150638,Bow tie,1,3.84,2/19/2019 11:04,"466 Lakeview St, New York City, NY 10001"
150639,Ring,2,14.95,2/19/2019 14:28,"408 Park St, Atlanta, GA 30301"
150640,Gloves,1,400,2/26/2019 0:07,"769 Willow St, New York City, NY 10001"
150641,Scarf,1,2.99,2/10/2019 14:57,"72 12th St, Portland, OR 97035"
