Order ID,Accessorie,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Sunglasses,1,700,1/22/2019 21:25,"944 Walnut St, Boston, MA 02215"
141235,Apron,1,14.95,1/28/2019 14:15,"185 Maple St, Portland, OR 97035"
141236,Necklace,2,11.99,1/17/2019 13:33,"538 Adams St, San Francisco, CA 94016"
141237,Watch,1,149.99,1/5/2019 20:33,"738 10th St, Los Angeles, CA 90001"
141238,Socks,1,11.99,1/25/2019 11:59,"387 10th St, Austin, TX 73301"
141239,Tie,1,2.99,1/29/2019 20:22,"775 Willow St, San Francisco, CA 94016"
141240,Bow tie,1,389.99,1/26/2019 12:16,"979 Park St, Los Angeles, CA 90001"
141241,Ring,1,11.95,1/5/2019 12:04,"181 6th St, San Francisco, CA 94016"
141242,Gloves,1,99.99,1/1/2019 10:30,"867 Willow St, Los Angeles, CA 90001"
141243,Scarf,1,150,1/22/2019 21:20,"657 Johnson St, San Francisco, CA 94016"
141244,Umbrella,1,150,1/7/2019 11:29,"492 Walnut St, San Francisco, CA 94016"
141245,Boots,1,1700,1/31/2019 10:12,"322 6th St, San Francisco, CA 94016"
141246,Mittens,3,2.99,1/9/2019 18:57,"618 7th St, Los Angeles, CA 90001"
141247,Stockings,1,149.99,1/25/2019 19:19,"512 Wilson St, San Francisco, CA 94016"
141248,Earmuffs,1,300,1/3/2019 21:54,"363 Spruce St, Austin, TX 73301"
141249,Hair band,1,149.99,1/5/2019 17:20,"440 Cedar St, Portland, OR 97035"
141250,Safety pin,1,400,1/10/2019 11:20,"471 Center St, Los Angeles, CA 90001"
141251,Pocket watch,1,150,1/24/2019 8:13,"414 Walnut St, Boston, MA 02215"
141252,Apron,1,11.95,1/30/2019 9:28,"220 9th St, Los Angeles, CA 90001"
141253,Necklace,1,3.84,1/17/2019 0:09,"385 11th St, Atlanta, GA 30301"
141254,Watch,1,2.99,1/8/2019 11:51,"238 Sunset St, Seattle, WA 98101"
141255,Socks,1,11.95,1/9/2019 20:55,"764 11th St, Los Angeles, CA 90001"
141256,Tie,1,600,1/29/2019 10:40,"675 Washington St, Portland, OR 97035"
141257,Bow tie,1,150,1/12/2019 18:51,"338 Highland St, San Francisco, CA 94016"
141258,Purse,1,3.84,1/19/2019 21:47,"820 1st St, San Francisco, CA 94016"
141259,Ring,2,2.99,1/20/2019 17:26,"920 Adams St, San Francisco, CA 94016"
141260,Gloves,1,2.99,1/1/2019 22:00,"293 Hill St, San Francisco, CA 94016"
141261,Sunglasses,1,11.95,1/9/2019 18:14,"840 Lincoln St, Atlanta, GA 30301"
141262,Apron,1,2.99,1/16/2019 12:35,"291 Lincoln St, San Francisco, CA 94016"
141263,Necklace,1,99.99,1/11/2019 23:33,"640 Spruce St, Boston, MA 02215"
141264,Watch,1,150,1/3/2019 9:46,"937 Highland St, New York City, NY 10001"
141265,Socks,1,150,1/1/2019 16:52,"853 Ridge St, Boston, MA 02215"
141266,Tie,1,389.99,1/2/2019 22:21,"834 4th St, Dallas, TX 75001"
141267,Bow tie,1,150,1/9/2019 8:28,"649 Sunset St, Los Angeles, CA 90001"
141268,Ring,1,3.84,1/14/2019 10:13,"611 Elm St, New York City, NY 10001"
141269,Gloves,1,389.99,1/3/2019 20:05,"812 Jefferson St, Los Angeles, CA 90001"
141270,Scarf,1,11.99,1/27/2019 23:10,"469 Hill St, San Francisco, CA 94016"
141271,Umbrella,1,11.95,1/30/2019 10:51,"90 13th St, Boston, MA 02215"
141272,Boots,1,2.99,1/12/2019 13:09,"818 Lincoln St, New York City, NY 10001"
141273,Mittens,2,11.99,1/29/2019 12:04,"994 13th St, Boston, MA 02215"
141274,Stockings,1,11.95,1/17/2019 11:30,"8 Jackson St, Los Angeles, CA 90001"
141275,Earmuffs,1,11.95,1/7/2019 16:06,"610 Walnut St, Austin, TX 73301"
141275,Hair band,1,11.99,1/7/2019 16:06,"610 Walnut St, Austin, TX 73301"
141276,Safety pin,1,14.95,1/21/2019 22:23,"63 Cherry St, Los Angeles, CA 90001"
141277,Pocket watch,1,99.99,1/13/2019 19:07,"370 Lakeview St, Austin, TX 73301"
141278,Apron,1,14.95,1/26/2019 12:14,"100 Cherry St, New York City, NY 10001"
141279,Necklace,1,14.95,1/3/2019 19:10,"938 14th St, Boston, MA 02215"
141280,Watch,1,2.99,1/20/2019 16:10,"530 7th St, Los Angeles, CA 90001"
141281,Socks,1,14.95,1/5/2019 16:51,"274 2nd St, Atlanta, GA 30301"
141282,Tie,1,400,1/11/2019 18:10,"125 Center St, New York City, NY 10001"
141283,Bow tie,1,300,1/2/2019 16:16,"68 Hickory St, Seattle, WA 98101"
141284,Purse,1,11.99,1/29/2019 18:30,"462 1st St, Los Angeles, CA 90001"
141285,Ring,3,2.99,1/14/2019 14:13,"447 Cedar St, Seattle, WA 98101"
141286,Gloves,1,389.99,1/2/2019 20:33,"505 Hickory St, Dallas, TX 75001"
141287,Sunglasses,1,99.99,1/31/2019 8:38,"386 Elm St, San Francisco, CA 94016"
141288,Apron,1,1700,1/19/2019 8:17,"789 Washington St, Los Angeles, CA 90001"
141289,Necklace,1,109.99,1/28/2019 11:17,"534 Elm St, Atlanta, GA 30301"
141290,Watch,1,150,1/2/2019 8:25,"4 1st St, Los Angeles, CA 90001"
141290,Socks,3,3.84,1/2/2019 8:25,"4 1st St, Los Angeles, CA 90001"
141291,Tie,1,3.84,1/26/2019 18:11,"632 13th St, Los Angeles, CA 90001"
141292,Bow tie,1,2.99,1/21/2019 8:46,"847 Ridge St, Los Angeles, CA 90001"
141293,Ring,1,11.95,1/18/2019 12:21,"880 Washington St, Boston, MA 02215"
141294,Gloves,1,99.99,1/25/2019 8:12,"907 Highland St, San Francisco, CA 94016"
141295,Scarf,1,3.84,1/6/2019 20:06,"898 Lakeview St, Austin, TX 73301"
141296,Umbrella,1,11.95,1/20/2019 0:21,"889 Cedar St, Atlanta, GA 30301"
141297,Boots,1,14.95,1/4/2019 11:09,"566 Highland St, San Francisco, CA 94016"
141298,Mittens,1,14.95,1/21/2019 13:24,"81 10th St, Dallas, TX 75001"
141299,Stockings,1,2.99,1/31/2019 23:23,"836 Hill St, Dallas, TX 75001"
141300,Earmuffs,1,150,1/23/2019 10:21,"121 Cherry St, Boston, MA 02215"
141301,Hair band,1,150,1/27/2019 11:58,"867 Hill St, New York City, NY 10001"
141302,Safety pin,2,2.99,1/18/2019 20:12,"90 14th St, Portland, OR 97035"
141303,Pocket watch,1,3.84,1/19/2019 9:23,"313 14th St, Seattle, WA 98101"
141304,Apron,1,11.95,1/28/2019 13:10,"363 Willow St, Los Angeles, CA 90001"
141305,Necklace,3,2.99,1/27/2019 16:51,"756 Wilson St, Austin, TX 73301"
141306,Watch,1,11.99,1/19/2019 10:25,"458 Forest St, San Francisco, CA 94016"
141307,Socks,1,2.99,1/11/2019 11:18,"895 Johnson St, Boston, MA 02215"
141308,Tie,1,149.99,1/12/2019 12:00,"926 Cedar St, Portland, OR 97035"
141309,Bow tie,2,2.99,1/20/2019 7:02,"423 Elm St, San Francisco, CA 94016"
141310,Purse,1,2.99,1/7/2019 13:32,"679 8th St, San Francisco, CA 94016"
141311,Ring,1,379.99,1/28/2019 12:45,"223 North St, Atlanta, GA 30301"
141312,Gloves,1,150,1/8/2019 23:20,"741 11th St, San Francisco, CA 94016"
141313,Sunglasses,1,14.95,1/9/2019 15:03,"38 Johnson St, Los Angeles, CA 90001"
141314,Apron,1,1700,1/13/2019 23:51,"700 Jefferson St, New York City, NY 10001"
141315,Necklace,1,11.95,1/10/2019 1:32,"842 8th St, Seattle, WA 98101"
141316,Watch,3,2.99,1/1/2019 7:26,"235 South St, Seattle, WA 98101"
