Order ID,Accessorie,Quantity Ordered,Price Each,Order Date,Purchase Address
209921,Sunglasses,1,11.95,6/23/2019 19:34,"950 Walnut St, Portland, ME 04101"
209922,Apron,1,1700,6/30/2019 10:05,"80 4th St, San Francisco, CA 94016"
209923,Necklace,1,999.99,6/24/2019 20:18,"402 Jackson St, Los Angeles, CA 90001"
209924,Watch,1,149.99,6/5/2019 10:21,"560 10th St, Seattle, WA 98101"
209925,Socks,1,99.99,6/25/2019 18:58,"545 2nd St, San Francisco, CA 94016"
209926,Tie,1,150,6/28/2019 20:04,"386 Lake St, Seattle, WA 98101"
209927,Bow tie,1,14.95,6/28/2019 0:07,"29 Lincoln St, Los Angeles, CA 90001"
209928,Ring,1,150,6/16/2019 21:30,"350 9th St, New York City, NY 10001"
209929,Gloves,1,11.99,6/28/2019 10:56,"612 Meadow St, Portland, OR 97035"
209930,Scarf,1,149.99,6/2/2019 11:22,"625 Ridge St, Los Angeles, CA 90001"
209931,Umbrella,1,150,6/24/2019 13:55,"761 14th St, New York City, NY 10001"
209932,Boots,1,300,6/12/2019 14:36,"858 8th St, Boston, MA 02215"
209933,Mittens,1,3.84,6/7/2019 15:39,"932 Lakeview St, San Francisco, CA 94016"
209934,Stockings,1,2.99,6/13/2019 20:53,"387 Dogwood St, Boston, MA 02215"
209935,Earmuffs,1,2.99,6/9/2019 11:13,"530 Cedar St, Boston, MA 02215"
209936,Hair band,1,379.99,6/15/2019 12:21,"769 Dogwood St, Dallas, TX 75001"
209937,Safety pin,1,3.84,6/29/2019 18:01,"675 Maple St, Dallas, TX 75001"
209938,Pocket watch,1,700,6/15/2019 12:29,"766 Meadow St, Seattle, WA 98101"
209938,Apron,1,11.99,6/15/2019 12:29,"766 Meadow St, Seattle, WA 98101"
209939,Necklace,1,600,6/8/2019 16:55,"313 South St, San Francisco, CA 94016"
209940,Watch,1,379.99,6/26/2019 15:24,"990 South St, Atlanta, GA 30301"
209941,Socks,1,11.99,6/27/2019 11:18,"486 13th St, Boston, MA 02215"
209942,Tie,1,389.99,6/19/2019 13:52,"874 Wilson St, Austin, TX 73301"
209943,Bow tie,3,2.99,6/23/2019 16:19,"158 Willow St, Los Angeles, CA 90001"
209944,Purse,1,149.99,6/2/2019 19:10,"916 Lake St, Austin, TX 73301"
209945,Ring,1,3.84,6/28/2019 8:53,"211 12th St, San Francisco, CA 94016"
209946,Gloves,1,600,6/28/2019 22:13,"66 Cherry St, San Francisco, CA 94016"
209947,Sunglasses,1,150,6/6/2019 22:41,"7 Lakeview St, San Francisco, CA 94016"
209948,Apron,1,1700,6/9/2019 1:48,"101 Spruce St, Atlanta, GA 30301"
209949,Necklace,1,600,6/23/2019 7:45,"637 12th St, San Francisco, CA 94016"
209949,Watch,1,11.95,6/23/2019 7:45,"637 12th St, San Francisco, CA 94016"
209950,Socks,2,11.99,6/1/2019 18:03,"689 Walnut St, Los Angeles, CA 90001"
209951,Tie,1,389.99,6/30/2019 13:04,"998 Johnson St, New York City, NY 10001"
209952,Bow tie,1,109.99,6/26/2019 17:48,"314 Willow St, Dallas, TX 75001"
209953,Ring,1,600,6/16/2019 16:59,"753 6th St, Dallas, TX 75001"
209954,Gloves,1,700,6/16/2019 7:21,"599 2nd St, San Francisco, CA 94016"
209955,Scarf,1,3.84,6/15/2019 21:25,"549 2nd St, Atlanta, GA 30301"
209956,Umbrella,2,3.84,6/26/2019 15:23,"910 Jackson St, Seattle, WA 98101"
209957,Boots,1,3.84,6/13/2019 12:23,"545 Dogwood St, Los Angeles, CA 90001"
209958,Mittens,1,11.99,6/6/2019 12:09,"326 Hickory St, Los Angeles, CA 90001"
209959,Stockings,1,11.95,6/1/2019 15:48,"88 River St, Atlanta, GA 30301"
209960,Earmuffs,1,11.95,6/22/2019 11:53,"333 Sunset St, Dallas, TX 75001"
209960,Hair band,1,3.84,6/22/2019 11:53,"333 Sunset St, Dallas, TX 75001"
209961,Safety pin,1,700,6/1/2019 23:00,"482 South St, Austin, TX 73301"
209961,Pocket watch,1,14.95,6/1/2019 23:00,"482 South St, Austin, TX 73301"
209962,Apron,1,11.95,6/23/2019 10:58,"441 Cherry St, New York City, NY 10001"
209963,Necklace,1,14.95,6/13/2019 18:58,"551 Hill St, Boston, MA 02215"
209964,Watch,2,11.95,6/11/2019 14:30,"822 8th St, Los Angeles, CA 90001"
209965,Socks,1,109.99,6/24/2019 14:00,"910 North St, San Francisco, CA 94016"
209966,Tie,1,14.95,6/20/2019 9:46,"743 Adams St, New York City, NY 10001"
209967,Bow tie,2,3.84,6/21/2019 21:18,"584 Chestnut St, San Francisco, CA 94016"
209968,Purse,1,150,6/23/2019 13:06,"120 Church St, Dallas, TX 75001"
209969,Ring,1,150,6/21/2019 15:55,"133 Sunset St, Los Angeles, CA 90001"
209970,Gloves,1,2.99,6/8/2019 20:58,"181 Meadow St, Seattle, WA 98101"
209971,Sunglasses,1,3.84,6/22/2019 15:11,"440 Maple St, Dallas, TX 75001"
209972,Apron,1,11.99,6/14/2019 17:09,"690 11th St, New York City, NY 10001"
209973,Necklace,1,99.99,6/6/2019 12:20,"658 Highland St, Austin, TX 73301"
209974,Watch,1,11.95,6/11/2019 10:06,"555 9th St, New York City, NY 10001"
209975,Socks,3,3.84,6/5/2019 21:25,"152 Johnson St, New York City, NY 10001"
209976,Tie,1,150,6/26/2019 11:52,"966 Washington St, Atlanta, GA 30301"
209977,Bow tie,1,3.84,6/1/2019 6:28,"96 14th St, Los Angeles, CA 90001"
209978,Ring,1,14.95,6/5/2019 13:50,"57 1st St, Los Angeles, CA 90001"
209979,Gloves,1,11.95,6/24/2019 9:42,"979 2nd St, San Francisco, CA 94016"
209980,Scarf,1,99.99,6/28/2019 20:28,"875 Forest St, New York City, NY 10001"
209981,Umbrella,1,700,6/5/2019 19:25,"898 14th St, Los Angeles, CA 90001"
209982,Boots,1,389.99,6/17/2019 19:31,"315 Forest St, New York City, NY 10001"
209983,Mittens,1,1700,6/22/2019 16:25,"702 Center St, Seattle, WA 98101"
209984,Stockings,1,11.95,6/3/2019 6:50,"36 7th St, Seattle, WA 98101"
209985,Earmuffs,1,150,6/5/2019 22:18,"54 12th St, Portland, OR 97035"
209986,Hair band,1,109.99,6/23/2019 16:49,"11 Wilson St, New York City, NY 10001"
209987,Safety pin,3,2.99,6/3/2019 3:22,"76 River St, Los Angeles, CA 90001"
209988,Pocket watch,1,11.99,6/27/2019 18:04,"403 Main St, San Francisco, CA 94016"
209989,Apron,1,700,6/19/2019 23:34,"285 8th St, Los Angeles, CA 90001"
209990,Necklace,1,600,6/16/2019 20:31,"557 Wilson St, Austin, TX 73301"
209991,Watch,1,2.99,6/2/2019 19:00,"835 Chestnut St, Boston, MA 02215"
209992,Socks,1,150,6/21/2019 7:51,"207 13th St, Boston, MA 02215"
209993,Tie,1,11.95,6/4/2019 18:14,"810 Meadow St, Dallas, TX 75001"
209994,Bow tie,1,14.95,6/28/2019 21:01,"679 Washington St, Boston, MA 02215"
209995,Purse,1,389.99,6/13/2019 19:16,"890 Washington St, Austin, TX 73301"
209996,Ring,1,600,6/13/2019 8:21,"965 Johnson St, Austin, TX 73301"
209997,Gloves,1,3.84,6/19/2019 11:23,"594 Lake St, New York City, NY 10001"
209998,Sunglasses,1,99.99,6/17/2019 23:15,"988 Madison St, San Francisco, CA 94016"
209999,Apron,1,99.99,6/16/2019 8:37,"949 10th St, Dallas, TX 75001"
210000,Necklace,1,700,6/6/2019 19:17,"534 Park St, Los Angeles, CA 90001"
210001,Watch,1,3.84,6/22/2019 12:47,"171 Madison St, Portland, OR 97035"
210002,Socks,1,2.99,6/26/2019 13:28,"124 Park St, San Francisco, CA 94016"
210003,Tie,1,99.99,6/26/2019 15:09,"928 West St, Boston, MA 02215"
210004,Bow tie,1,2.99,6/23/2019 14:40,"868 8th St, San Francisco, CA 94016"
210005,Ring,1,2.99,6/12/2019 19:53,"532 Willow St, Atlanta, GA 30301"
210006,Gloves,1,14.95,6/21/2019 19:02,"186 14th St, Boston, MA 02215"
210007,Scarf,1,700,6/30/2019 9:06,"133 Highland St, Dallas, TX 75001"
210008,Umbrella,1,149.99,6/19/2019 0:07,"433 14th St, Portland, OR 97035"
210009,Boots,1,99.99,6/29/2019 9:24,"35 West St, Los Angeles, CA 90001"
210010,Mittens,1,11.95,6/1/2019 10:56,"469 Pine St, Austin, TX 73301"
210011,Stockings,1,3.84,6/13/2019 15:10,"615 Forest St, Atlanta, GA 30301"
210012,Earmuffs,1,379.99,6/4/2019 17:21,"507 1st St, San Francisco, CA 94016"
210013,Hair band,2,3.84,6/17/2019 17:27,"820 5th St, New York City, NY 10001"
210014,Safety pin,1,11.99,6/28/2019 17:08,"465 Meadow St, Portland, OR 97035"
210015,Pocket watch,1,11.99,6/6/2019 18:12,"559 11th St, Atlanta, GA 30301"
210016,Apron,2,3.84,6/22/2019 22:17,"34 14th St, San Francisco, CA 94016"
210017,Necklace,1,2.99,6/18/2019 17:03,"624 Adams St, Atlanta, GA 30301"
210018,Watch,1,14.95,6/14/2019 15:01,"684 Maple St, San Francisco, CA 94016"
210019,Socks,1,14.95,6/27/2019 17:10,"505 Maple St, New York City, NY 10001"
210020,Tie,1,150,6/26/2019 15:02,"920 Washington St, Los Angeles, CA 90001"
210021,Bow tie,1,2.99,6/7/2019 23:22,"627 Spruce St, Boston, MA 02215"
210022,Purse,1,14.95,6/29/2019 8:19,"943 9th St, San Francisco, CA 94016"
210023,Ring,3,3.84,6/12/2019 21:24,"838 Dogwood St, Los Angeles, CA 90001"
210024,Gloves,1,2.99,6/19/2019 20:21,"649 7th St, Dallas, TX 75001"
210025,Sunglasses,1,109.99,6/2/2019 16:59,"940 14th St, New York City, NY 10001"
210026,Apron,1,99.99,6/12/2019 13:42,"878 4th St, San Francisco, CA 94016"
210027,Necklace,1,1700,6/5/2019 14:35,"763 2nd St, Los Angeles, CA 90001"
210028,Watch,1,149.99,6/15/2019 18:24,"297 12th St, Dallas, TX 75001"
210029,Socks,1,99.99,6/5/2019 15:21,"509 4th St, Dallas, TX 75001"
210030,Tie,1,1700,6/3/2019 9:11,"479 Willow St, Los Angeles, CA 90001"
210031,Bow tie,1,2.99,6/8/2019 11:01,"641 Lincoln St, Portland, OR 97035"
210032,Ring,1,3.84,6/27/2019 11:59,"569 4th St, Atlanta, GA 30301"
210033,Gloves,2,3.84,6/15/2019 18:25,"749 North St, New York City, NY 10001"
210034,Scarf,1,389.99,6/14/2019 18:07,"476 1st St, Atlanta, GA 30301"
210035,Umbrella,1,149.99,6/30/2019 14:02,"386 1st St, Dallas, TX 75001"
210036,Boots,1,3.84,6/8/2019 19:05,"598 Meadow St, Boston, MA 02215"
210037,Mittens,1,2.99,6/26/2019 9:53,"524 6th St, New York City, NY 10001"
210038,Stockings,1,999.99,6/15/2019 14:49,"443 Maple St, New York City, NY 10001"
210039,Earmuffs,1,2.99,6/10/2019 9:08,"988 Maple St, Dallas, TX 75001"
210040,Hair band,1,3.84,6/29/2019 14:30,"711 1st St, San Francisco, CA 94016"
210041,Safety pin,1,149.99,6/17/2019 21:31,"225 West St, Atlanta, GA 30301"
210042,Pocket watch,1,300,6/21/2019 6:28,"325 Park St, Portland, OR 97035"
210043,Apron,1,150,6/16/2019 23:20,"395 Main St, Seattle, WA 98101"
210044,Necklace,1,150,6/14/2019 0:28,"372 Spruce St, Portland, OR 97035"
210045,Watch,1,99.99,6/3/2019 19:58,"287 Cedar St, Boston, MA 02215"
210046,Socks,1,150,6/15/2019 11:08,"816 1st St, San Francisco, CA 94016"
210047,Tie,1,379.99,6/6/2019 18:53,"973 Lakeview St, San Francisco, CA 94016"
210048,Bow tie,1,11.99,6/5/2019 7:41,"314 Ridge St, San Francisco, CA 94016"
210049,Purse,1,999.99,6/20/2019 18:20,"993 6th St, San Francisco, CA 94016"
210050,Ring,1,99.99,6/13/2019 11:24,"271 13th St, New York City, NY 10001"
210051,Gloves,1,700,6/11/2019 16:15,"784 Pine St, Austin, TX 73301"
210052,Sunglasses,1,11.95,6/18/2019 14:01,"24 Main St, Seattle, WA 98101"
